"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.946075083E0,7.758067017E0,-5.716612244E0,1.101708984E0,9.699537209E0
1.956060083E0,8.274642792E0,-5.802832947E0,1.093925171E0,1.016559176E1
1.966045083E0,8.687184906E0,-5.844446411E0,1.134939880E0,1.053151575E1
1.976030083E0,8.968300323E0,-5.935756531E0,1.203048248E0,1.082178088E1
1.986015083E0,9.162446594E0,-6.164780273E0,1.245110779E0,1.111329133E1
1.996000083E0,9.226663055E0,-6.470444641E0,1.213825836E0,1.133451976E1
2.005985083E0,9.415121155E0,-6.843169556E0,1.225950623E0,1.170369304E1
2.015970083E0,9.589059448E0,-7.233408051E0,1.338067474E0,1.208563932E1
2.025955083E0,9.823921051E0,-7.548951874E0,1.563498688E0,1.248761896E1
2.035940083E0,1.010728180E1,-7.698341217E0,1.758992157E0,1.282636567E1
2.045925083E0,1.040022263E1,-7.799081726E0,1.914818115E0,1.313989478E1
2.055910083E0,1.064795746E1,-7.731572113E0,2.058519287E0,1.331892289E1
2.065895083E0,1.083686462E1,-7.574548645E0,2.264640656E0,1.341417233E1
2.075880083E0,1.106933121E1,-7.490722961E0,2.316133575E0,1.356486265E1
2.085865083E0,1.170700516E1,-7.732919312E0,2.099833374E0,1.418665962E1
2.095850083E0,1.248433868E1,-8.425678711E0,1.779948578E0,1.516637699E1
2.105835083E0,1.305719742E1,-9.249715118E0,1.630858612E0,1.608438168E1
2.115820083E0,1.351255051E1,-9.904752960E0,1.844763794E0,1.685515665E1
2.125805083E0,1.377839767E1,-1.021206390E1,2.251318359E0,1.729736760E1
2.135790083E0,1.373379044E1,-1.035786072E1,2.722239075E0,1.741587965E1
2.145775083E0,1.294268555E1,-9.839338989E0,3.189267883E0,1.656795493E1
2.155760083E0,1.171239395E1,-8.610095215E0,3.469634857E0,1.494497500E1
2.165745083E0,1.045919998E1,-7.150779877E0,3.690425720E0,1.319650556E1
2.175730083E0,9.383836212E0,-5.766608276E0,3.806584167E0,1.165333584E1
2.185715083E0,8.684490509E0,-4.588857422E0,3.747457123E0,1.051291695E1
2.195700083E0,8.569978638E0,-3.851341095E0,3.388054504E0,9.987806336E0
2.205685083E0,8.534652100E0,-3.492237854E0,3.027304688E0,9.705698602E0
2.215670083E0,8.349786530E0,-3.360811157E0,2.671793976E0,9.388954669E0
2.225655083E0,8.117769012E0,-3.481460266E0,2.173480225E0,9.096304503E0
2.235640083E0,7.865244141E0,-3.832630005E0,1.623823242E0,8.898759468E0
2.245625083E0,7.635471954E0,-4.291276245E0,1.100361786E0,8.827586297E0
2.255610083E0,7.486681366E0,-4.761897583E0,6.985972595E-1,8.900230592E0
2.265595083E0,7.444918213E0,-5.365592194E0,3.671864319E-1,9.184291625E0
