"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.005877833E0,1.157048904E1,-1.002165985E1,-2.983146515E0,1.559516098E1
1.015916833E0,1.732212845E1,-8.711284790E0,1.193468170E0,1.942593583E1
1.025954833E0,1.990845016E1,-5.791157227E0,5.785918121E0,2.152581563E1
1.035992833E0,1.882934418E1,-3.290457458E0,8.775052185E0,2.103266158E1
1.046030833E0,1.566447556E1,-2.669548645E0,9.017248535E0,1.827055159E1
1.056069833E0,1.220906113E1,-3.273991699E0,7.205266571E0,1.454977875E1
1.066107834E0,8.532107391E0,-3.670367432E0,4.764292603E0,1.043872299E1
1.076145833E0,5.481002197E0,-3.431314545E0,2.759810944E0,7.030779547E0
1.086183833E0,3.425476685E0,-2.791245575E0,1.297651520E0,4.605305836E0
1.096222833E0,2.449655914E0,-1.784888306E0,3.230282593E-1,3.048112140E0
1.106260833E0,2.317780151E0,-5.998027039E-1,-2.233355713E-1,2.404526334E0
1.116298833E0,2.409239960E0,3.439846802E-1,-6.557862854E-1,2.520479775E0
1.126337833E0,2.400108948E0,8.559201050E-1,-1.361119537E0,2.888904391E0
1.136375834E0,1.967957611E0,1.111887817E0,-2.159559174E0,3.126155387E0
1.146413833E0,1.563798065E0,1.343007202E0,-2.585423584E0,3.306591575E0
1.156451833E0,1.264121246E0,1.510359192E0,-2.431244202E0,3.128919267E0
1.166490834E0,1.185834045E0,1.835183716E0,-1.946851501E0,2.926488070E0
1.176528833E0,1.279090118E0,2.390379181E0,-1.677561493E0,3.188133737E0
1.186566833E0,1.353784790E0,3.027604065E0,-1.817969513E0,3.782080483E0
1.196604833E0,1.625619507E0,3.874093781E0,-1.886976013E0,4.605640007E0
1.206643834E0,1.379381561E0,4.467310181E0,-2.228715363E0,5.179452279E0
1.216681833E0,2.088157654E-1,4.649481354E0,-2.662213898E0,5.361778037E0
1.226719833E0,-1.409768372E0,4.627028046E0,-2.913241882E0,5.646575392E0
1.236758834E0,-3.448528748E0,4.528083801E0,-2.910248108E0,6.392608035E0
1.246796833E0,-4.928201752E0,4.177512817E0,-3.163371735E0,7.193448865E0
1.256834833E0,-5.252876587E0,3.242407379E0,-2.606380005E0,6.700681665E0
1.266872833E0,-4.742737427E0,2.552641754E0,-6.692582703E-1,5.427471313E0
1.276911833E0,-2.451152802E0,2.719394989E0,1.403631134E0,3.920897796E0
1.286949833E0,9.360035706E-1,2.468965759E0,3.120111694E0,4.087418695E0
1.296987833E0,3.911066895E0,1.087787933E0,4.961282959E0,6.410464526E0
1.307025834E0,5.586981812E0,-2.085163879E0,5.867348785E0,8.365886441E0
1.317064833E0,6.435417480E0,-9.593400421E0,4.399800568E0,1.236147948E1
1.327102833E0,6.885381775E0,-2.069985443E1,1.449585571E0,2.186306827E1
1.337140833E0,8.765771484E0,-3.021302170E1,-1.983824615E0,3.152143699E1
1.347179833E0,1.548335220E1,-3.669020233E1,-5.302872620E0,4.017493747E1
1.357217833E0,2.650463333E1,-4.103716278E1,-7.725285187E0,4.945932014E1
1.367255833E0,3.692745895E1,-4.313639740E1,-8.871900787E0,5.747257284E1
1.377293834E0,3.875979858E1,-3.894047287E1,-6.081253967E0,5.527806132E1
1.387332833E0,3.447301300E1,-3.463063522E1,-1.812281342E0,4.889738117E1
1.397370833E0,2.970707382E1,-3.683569977E1,-2.010618896E0,4.736477173E1
1.407408834E0,2.749198013E1,-3.999023987E1,-6.420897675E0,4.895156977E1
1.417446833E0,2.738525208E1,-4.045173019E1,-1.154115005E1,5.019454803E1
1.427485833E0,2.810944611E1,-3.928281097E1,-1.511392044E1,5.061334596E1
1.437523833E0,2.661914520E1,-3.815086487E1,-1.588242233E1,4.915606494E1
1.447561834E0,2.062066910E1,-3.363640274E1,-1.245904129E1,4.137447635E1
1.457599833E0,1.506182877E1,-2.682287155E1,-8.175249481E0,3.183017166E1
1.467638833E0,1.235515732E1,-2.202549774E1,-5.887257385E0,2.593129890E1
1.477676834E0,9.918524323E0,-1.707903397E1,-3.793261871E0,2.011117504E1
1.487714833E0,9.204808502E0,-1.176912598E1,-1.831441498E0,1.505307290E1
1.497753833E0,8.065078583E0,-6.708150330E0,1.182540894E-1,1.049088926E1
1.507791833E0,6.009553070E0,-1.908980255E0,2.023492126E0,6.622194055E0
1.517829834E0,3.499123535E0,2.586321716E0,4.660408630E0,6.375918298E0
1.527867833E0,1.988764343E0,4.985981598E0,6.123017120E0,8.142882460E0
1.537906833E0,9.916877747E-1,5.257367249E0,6.442153473E0,8.374048985E0
1.547944834E0,-2.308200073E-1,3.945195923E0,5.993087311E0,7.178784316E0
1.557982833E0,-2.311193848E0,2.045346680E0,4.848417664E0,5.747365821E0
1.568020833E0,-4.884941711E0,2.092648315E-1,3.325484619E0,5.913145969E0
1.578059833E0,-7.519762573E0,-1.253193970E0,1.609004059E0,7.791419533E0
1.588097833E0,-9.440119171E0,-2.227667542E0,-7.223977661E-1,9.726263988E0
1.598135833E0,-1.035262161E1,-2.714754639E0,-3.473227386E0,1.125210982E1
1.608174833E0,-9.873318329E0,-2.815495148E0,-5.551206207E0,1.167156023E1
1.618212834E0,-8.202492828E0,-3.017275543E0,-6.111640778E0,1.066475472E1
1.628250833E0,-5.682632904E0,-3.372935944E0,-5.574707336E0,8.645598619E0
1.638288833E0,-2.655777283E0,-3.534899139E0,-4.159101105E0,6.070155426E0
1.648327834E0,2.871029663E-1,-3.390449524E0,-2.229014740E0,4.067687648E0
1.658365833E0,2.305206299E0,-2.968177643E0,-2.073188782E-1,3.763912289E0
1.668403833E0,3.332669678E0,-2.549647980E0,1.668580170E0,4.515700586E0
1.678441833E0,3.625161438E0,-1.971400452E0,3.350632324E0,5.315538746E0
