"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.209661583E0,-1.603914642E0,5.398823090E0,6.957681427E0,8.951489472E0
1.219700583E0,-1.475332031E0,5.490881653E0,7.129224701E0,9.118784500E0
1.229738583E0,-1.272054749E0,5.566474457E0,7.351512451E0,9.308517416E0
1.239776583E0,-1.061143341E0,5.569168854E0,7.583080902E0,9.468092885E0
1.249814583E0,-8.958869934E-1,5.521717529E0,7.714357910E0,9.529076343E0
1.259852583E0,-8.122109985E-1,5.431155853E0,7.750732269E0,9.498999490E0
1.269891583E0,-9.032217407E-1,5.369334412E0,7.740703125E0,9.463828317E0
1.279929583E0,-1.010997620E0,5.254523163E0,7.650590515E0,9.336148300E0
1.289967583E0,-1.017284546E0,4.994663544E0,7.599396973E0,9.150539116E0
1.300005583E0,-1.458716583E0,5.383105774E0,7.792794800E0,9.582970971E0
1.310044583E0,-1.890119476E0,5.715414734E0,8.127349091E0,1.011396660E1
1.320082583E0,-2.086660767E0,6.069129181E0,8.443192291E0,1.060546926E1
1.330120583E0,-1.875000916E0,6.145171051E0,8.871152344E0,1.095336020E1
1.340158583E0,-1.113983459E0,5.849835205E0,9.368268585E0,1.110072013E1
1.350196583E0,-3.553610229E-1,5.609584808E0,9.889634399E0,1.137535018E1
1.360235583E0,1.505868530E-1,5.558840332E0,1.038585251E1,1.178088768E1
1.370273583E0,6.523434448E-1,5.489833832E0,1.089105194E1,1.221387898E1
1.380311583E0,1.279539185E0,5.377267914E0,1.137349869E1,1.264550130E1
1.390349583E0,1.933678894E0,5.230572968E0,1.171972870E1,1.297883078E1
1.400388583E0,2.388582916E0,5.183271332E0,1.195638657E1,1.324865313E1
1.410426583E0,2.495909729E0,5.255870361E0,1.212568451E1,1.344938524E1
1.420464583E0,2.214644623E0,5.319937134E0,1.206835373E1,1.337353894E1
1.430502583E0,1.706900482E0,5.195246429E0,1.171194489E1,1.292570105E1
1.440541583E0,1.191073151E0,4.861739960E0,1.112202164E1,1.219649687E1
